rank,content_id,client_id,position_tier,avg_position,impressions_90d,ctr,expected_ctr_for_tier,ctr_gap_score,reason_low_ctr_vs_tier,reason_high_stakes,reason_also_low_engagement
72,content_d30b448b0bab,client_19581e27de,page_1,8.1,2242,0.0,0.24,0.24,True,False,True
73,content_caa0b9ca6768,client_3fdba35f04,page_1,9.9,2227,0.0,0.24,0.24,True,False,False
74,content_10b4e02e2da0,client_19581e27de,page_1,7.2,2198,0.0,0.24,0.24,True,False,False
75,content_fd502725c8dd,client_7f2253d7e2,page_1,5.8,2185,0.0,0.24,0.24,True,False,True
76,content_b37bb790714e,client_19581e27de,page_1,7.3,2136,0.0,0.24,0.24,True,False,False
77,content_d1268550d1e3,client_19581e27de,page_1,9.6,2126,0.0,0.24,0.24,True,False,True
78,content_cab6d15a5215,client_f74efabef1,page_1,6.5,2092,0.0,0.24,0.24,True,False,True
79,content_bb485e06e530,client_19581e27de,page_1,6.3,2080,0.0,0.24,0.24,True,False,True
80,content_ace9c4bf711f,client_19581e27de,page_1,5.1,2079,0.0,0.24,0.24,True,False,False
81,content_951dedee5850,client_f74efabef1,page_1,9.0,2069,0.0,0.24,0.24,True,False,True
82,content_d0b182054ac2,client_19581e27de,page_1,5.3,2064,0.0,0.24,0.24,True,False,True
83,content_b929edda93a0,client_19581e27de,page_1,9.5,2053,0.0,0.24,0.24,True,False,True
84,content_85925d6c92b8,client_f369cb89fc,page_1,9.6,2049,0.0,0.24,0.24,True,False,True
85,content_0829ece1148e,client_7f2253d7e2,page_1,6.5,2020,0.0,0.24,0.24,True,False,True
86,content_f890d20292b1,client_d029fa3a95,page_1,6.3,2016,0.0,0.24,0.24,True,False,False
87,content_3a42e62946d6,client_19581e27de,page_1,9.8,1981,0.0,0.24,0.24,True,False,True
88,content_5bedee4b96d5,client_7f2253d7e2,page_1,5.3,1972,0.0,0.24,0.24,True,False,True
89,content_b2544dd3cd76,client_d029fa3a95,page_1,5.2,1964,0.0,0.24,0.24,True,False,False
90,content_e8259898d88e,client_624b60c58c,page_1,5.8,1963,0.0,0.24,0.24,True,False,False
91,content_69deabcc81b5,client_19581e27de,page_1,4.5,1961,0.0,0.24,0.24,True,False,True
92,content_6b6a1f15679d,client_19581e27de,page_1,9.7,1939,0.0,0.24,0.24,True,False,False
93,content_7c7f34778041,client_19581e27de,page_1,8.9,1909,0.0,0.24,0.24,True,False,True
94,content_f2792dfc282c,client_19581e27de,page_1,9.3,1870,0.0,0.24,0.24,True,False,False
95,content_09affbc0221a,client_19581e27de,page_1,7.5,1831,0.0,0.24,0.24,True,False,True
96,content_e0ed1649d2ca,client_19581e27de,page_1,8.6,1821,0.0,0.24,0.24,True,False,True
97,content_7ce2ef889fd3,client_19581e27de,page_1,7.5,1801,0.0,0.24,0.24,True,False,True
98,content_1aae7c2983fc,client_4e07408562,page_1,8.0,1784,0.0,0.24,0.24,True,False,True
99,content_597c1dcedde0,client_19581e27de,page_1,3.8,1771,0.0,0.24,0.24,True,False,False
100,content_01613ff9c48f,client_19581e27de,page_1,8.4,1746,0.0,0.24,0.24,True,False,True
101,content_89b8af9c2e3d,client_d029fa3a95,page_1,6.0,1738,0.0,0.24,0.24,True,False,False
102,content_2605942dde18,client_6208ef0f77,page_1,5.3,1737,0.0,0.24,0.24,True,False,False
103,content_f44c380e8cff,client_d029fa3a95,page_1,9.8,1713,0.0,0.24,0.24,True,False,False
104,content_8cc51f5a7376,client_2c624232cd,page_1,7.5,1696,0.0,0.24,0.24,True,False,False
105,content_e74933316051,client_4ec9599fc2,page_1,5.7,1674,0.0,0.24,0.24,True,False,False
106,content_a128777972dd,client_9400f1b21c,page_1,7.9,1666,0.0,0.24,0.24,True,False,False
107,content_53854b72b1cf,client_6208ef0f77,page_1,7.9,1661,0.0,0.24,0.24,True,False,False
108,content_fd02f99559fa,client_6208ef0f77,page_1,4.9,1640,0.0,0.24,0.24,True,False,False
109,content_0d2caacb67c3,client_19581e27de,page_1,8.5,1627,0.0,0.24,0.24,True,False,True
110,content_0d7d3b359828,client_9400f1b21c,page_1,5.9,1621,0.0,0.24,0.24,True,False,False
111,content_a64702530135,client_19581e27de,page_1,4.1,1593,0.0,0.24,0.24,True,False,True
112,content_1b8075168e67,client_19581e27de,page_1,5.0,1555,0.0,0.24,0.24,True,False,True
113,content_e1bdad640bcf,client_d029fa3a95,page_1,8.0,1532,0.0,0.24,0.24,True,False,False
114,content_c0fcb6a10c0e,client_19581e27de,page_1,6.3,1531,0.0,0.24,0.24,True,False,True
115,content_d925c960bbac,client_6208ef0f77,page_1,7.4,1523,0.0,0.24,0.24,True,False,False
116,content_39c0cb7f2bbd,client_d029fa3a95,page_1,9.7,1510,0.0,0.24,0.24,True,False,False
117,content_fe1be55e468e,client_19581e27de,page_1,8.6,1508,0.0,0.24,0.24,True,False,False
118,content_80ab8f6a154a,client_d029fa3a95,page_1,8.0,1506,0.0,0.24,0.24,True,False,False
119,content_46de96f85924,client_349c41201b,page_1,8.2,1491,0.0,0.24,0.24,True,False,True
120,content_201dc4530cf2,client_19581e27de,page_1,6.7,1486,0.0,0.24,0.24,True,False,True
121,content_f658e746131f,client_4e07408562,page_1,3.5,1485,0.0,0.24,0.24,True,False,True
122,content_bb6c9ae71383,client_6208ef0f77,page_1,3.0,1475,0.0,0.24,0.24,True,False,True
123,content_30b184c92a17,client_4ec9599fc2,page_1,7.9,1468,0.0,0.24,0.24,True,False,True
124,content_448ca4ed2f9a,client_6208ef0f77,page_1,3.6,1464,0.0,0.24,0.24,True,False,False
125,content_145111a5da6e,client_19581e27de,page_1,7.2,1463,0.0,0.24,0.24,True,False,False
126,content_5003f178bc9f,client_19581e27de,page_1,7.5,1449,0.0,0.24,0.24,True,False,False
127,content_4e96d60a4e1c,client_19581e27de,page_1,7.8,1437,0.0,0.24,0.24,True,False,True
128,content_e0b39e983a86,client_6208ef0f77,page_1,4.9,1434,0.0,0.24,0.24,True,False,True
129,content_f3a0e908ff6c,client_19581e27de,page_1,7.7,1416,0.0,0.24,0.24,True,False,True
130,content_9f27879302d7,client_19581e27de,page_1,6.2,1410,0.0,0.24,0.24,True,False,True
131,content_ce611830d125,client_19581e27de,page_1,6.9,1409,0.0,0.24,0.24,True,False,False
132,content_9b3d7bfa7e2f,client_4e07408562,page_1,5.7,1406,0.0,0.24,0.24,True,False,False
133,content_59c6906799be,client_19581e27de,page_1,4.9,1396,0.0,0.24,0.24,True,False,True
134,content_8db4c9e4360b,client_19581e27de,page_1,6.1,1384,0.0,0.24,0.24,True,False,True
135,content_53a79adb64de,client_434c9b5ae5,page_1,9.2,1374,0.0,0.24,0.24,True,False,False
136,content_b6e6f623be4e,client_19581e27de,page_1,7.7,1365,0.0,0.24,0.24,True,False,True
137,content_d831e97bab46,client_4e07408562,page_1,6.1,1360,0.0,0.24,0.24,True,False,False
138,content_0ca03d54c197,client_19581e27de,page_1,5.9,1359,0.0,0.24,0.24,True,False,True
139,content_78dc113bf509,client_d029fa3a95,page_1,6.7,1358,0.0,0.24,0.24,True,False,False
140,content_1df2423841db,client_f74efabef1,page_1,9.4,1343,0.0,0.24,0.24,True,False,True
141,content_4b1303a5affe,client_7f2253d7e2,page_1,4.1,1341,0.0,0.24,0.24,True,False,False
142,content_3379b1fa609a,client_3fdba35f04,page_1,3.2,1333,0.0,0.24,0.24,True,False,True
143,content_5c222d2ef819,client_19581e27de,page_1,9.3,1316,0.0,0.24,0.24,True,False,True
144,content_9de1f0e1077b,client_624b60c58c,page_1,6.3,1316,0.0,0.24,0.24,True,False,False
145,content_fb1548cece22,client_4e07408562,page_1,8.6,1294,0.0,0.24,0.24,True,False,True
146,content_e92273e83ffc,client_19581e27de,page_1,9.9,1293,0.0,0.24,0.24,True,False,True
147,content_99c177eb1cf5,client_7f2253d7e2,page_1,8.4,1288,0.0,0.24,0.24,True,False,False
148,content_0c8b0099fc8c,client_4e07408562,page_1,6.1,1284,0.0,0.24,0.24,True,False,False
149,content_20b4866e7f62,client_19581e27de,page_1,8.4,1282,0.0,0.24,0.24,True,False,False
150,content_3653151b7ac7,client_4e07408562,page_1,6.2,1278,0.0,0.24,0.24,True,False,True
151,content_e72ecedaf986,client_19581e27de,page_1,8.1,1272,0.0,0.24,0.24,True,False,False
152,content_29edd4a67cf6,client_19581e27de,page_1,7.0,1268,0.0,0.24,0.24,True,False,False
153,content_26d48a980581,client_f369cb89fc,page_1,4.6,1266,0.0,0.24,0.24,True,False,False
154,content_6a11fcdbbc2a,client_6208ef0f77,page_1,5.0,1263,0.0,0.24,0.24,True,False,True
155,content_212375a53741,client_4e07408562,page_1,3.2,1258,0.0,0.24,0.24,True,False,False
156,content_cf5eadf493d3,client_f74efabef1,page_1,8.3,1255,0.0,0.24,0.24,True,False,True
157,content_1f1eb3e67ac9,client_d029fa3a95,page_1,6.7,1249,0.0,0.24,0.24,True,False,False
158,content_6eb16d7a88ae,client_e629fa6598,page_1,4.9,1236,0.0,0.24,0.24,True,False,False
159,content_0351c75cc913,client_349c41201b,page_1,6.6,1236,0.0,0.24,0.24,True,False,True
160,content_e2d06fb19616,client_6208ef0f77,page_1,9.2,1235,0.0,0.24,0.24,True,False,True
161,content_65629be9dbb5,client_6208ef0f77,page_1,7.0,1230,0.0,0.24,0.24,True,False,False
162,content_2e925b3780f0,client_19581e27de,page_1,8.7,1225,0.0,0.24,0.24,True,False,False
163,content_a2d394e98056,client_4e07408562,page_1,9.4,1220,0.0,0.24,0.24,True,False,True
164,content_d5b833d82e72,client_9400f1b21c,page_1,7.5,1220,0.0,0.24,0.24,True,False,False
165,content_06531199cd40,client_d029fa3a95,page_1,8.0,1212,0.0,0.24,0.24,True,False,False
166,content_694bc660415b,client_f369cb89fc,page_1,7.5,1195,0.0,0.24,0.24,True,False,False
167,content_93edea54a28f,client_4e07408562,page_1,8.2,1194,0.0,0.24,0.24,True,False,True
168,content_b854e1b19fe8,client_a88a7902cb,page_1,3.5,1194,0.0,0.24,0.24,True,False,False
169,content_bc2f4f6ac33c,client_19581e27de,page_1,6.8,1191,0.0,0.24,0.24,True,False,True
170,content_247e30bf3be6,client_19581e27de,page_1,6.6,1189,0.0,0.24,0.24,True,False,True
171,content_018cf0021b5d,client_6208ef0f77,page_1,7.3,1174,0.0,0.24,0.24,True,False,True
172,content_214a94adfa00,client_19581e27de,page_1,6.9,1168,0.0,0.24,0.24,True,False,False
173,content_d7d136ba8b36,client_9400f1b21c,page_1,8.7,1164,0.0,0.24,0.24,True,False,False
174,content_a68a727b68d4,client_19581e27de,page_1,9.3,1161,0.0,0.24,0.24,True,False,True
175,content_4f1297aaa874,client_6208ef0f77,page_1,7.1,1154,0.0,0.24,0.24,True,False,True
176,content_0868e82484db,client_7f2253d7e2,page_1,4.1,1149,0.0,0.24,0.24,True,False,True
177,content_8c5405b0ce59,client_f369cb89fc,page_1,9.1,1141,0.0,0.24,0.24,True,False,True
178,content_c353ed2bcd24,client_19581e27de,page_1,7.7,1139,0.0,0.24,0.24,True,False,True
179,content_785966208f94,client_a88a7902cb,page_1,9.2,1138,0.0,0.24,0.24,True,False,False
180,content_c5e63875b21a,client_19581e27de,page_1,8.8,1137,0.0,0.24,0.24,True,False,False
181,content_b23fa9e12c1d,client_6208ef0f77,page_1,7.7,1133,0.0,0.24,0.24,True,False,False
182,content_0709d50aa283,client_d029fa3a95,page_1,8.9,1127,0.0,0.24,0.24,True,False,False
183,content_ef55a64d948b,client_6208ef0f77,page_1,3.7,1124,0.0,0.24,0.24,True,False,True
184,content_1d9909fc2b04,client_d029fa3a95,page_1,7.2,1122,0.0,0.24,0.24,True,False,False
185,content_756881a4736b,client_4e07408562,page_1,8.9,1122,0.0,0.24,0.24,True,False,False
186,content_92add00e895d,client_19581e27de,page_1,7.9,1119,0.0,0.24,0.24,True,False,True
187,content_527beec00658,client_6208ef0f77,page_1,3.0,1115,0.0,0.24,0.24,True,False,True
188,content_5352bbcea612,client_19581e27de,page_1,6.3,1115,0.0,0.24,0.24,True,False,True
189,content_ce1f9e5f2424,client_4e07408562,page_1,5.2,1115,0.0,0.24,0.24,True,False,True
190,content_6ff38d8e90ae,client_19581e27de,page_1,4.7,1114,0.0,0.24,0.24,True,False,True
191,content_d10d476fbfa5,client_f369cb89fc,page_1,4.8,1113,0.0,0.24,0.24,True,False,False
192,content_37bb865c7f2f,client_f369cb89fc,page_1,5.7,1112,0.0,0.24,0.24,True,False,False
193,content_9b5fde123cea,client_6208ef0f77,page_1,6.5,1111,0.0,0.24,0.24,True,False,False
194,content_850062ab0112,client_19581e27de,page_1,5.1,1105,0.0,0.24,0.24,True,False,False
195,content_aee46e5bed69,client_3fdba35f04,page_1,8.0,1097,0.0,0.24,0.24,True,False,False
196,content_e434e1419da3,client_19581e27de,page_1,6.5,1096,0.0,0.24,0.24,True,False,True
197,content_3d4004b21c6f,client_19581e27de,page_1,7.3,1086,0.0,0.24,0.24,True,False,False
198,content_08093639296d,client_19581e27de,page_1,8.4,1084,0.0,0.24,0.24,True,False,True
199,content_ea2a7c085cdf,client_f74efabef1,page_1,7.9,1083,0.0,0.24,0.24,True,False,True
200,content_fc43dc8aef14,client_349c41201b,page_1,5.3,1072,0.0,0.24,0.24,True,False,True
201,content_d6a24dfed965,client_6208ef0f77,page_1,8.6,1070,0.0,0.24,0.24,True,False,False
202,content_41c999d507df,client_19581e27de,page_1,7.4,1067,0.0,0.24,0.24,True,False,False
203,content_2c961b83d6a5,client_f74efabef1,page_1,8.2,1065,0.0,0.24,0.24,True,False,True
204,content_f17bbee2cfb9,client_19581e27de,page_1,4.8,1064,0.0,0.24,0.24,True,False,True
205,content_d015eb800625,client_d029fa3a95,page_1,8.5,1064,0.0,0.24,0.24,True,False,False
206,content_3094263ab1b5,client_19581e27de,page_1,9.8,1055,0.0,0.24,0.24,True,False,True
207,content_5be6e62e52ef,client_19581e27de,page_1,9.9,1044,0.0,0.24,0.24,True,False,True
208,content_05c60d0e3a6a,client_7f2253d7e2,page_1,5.9,1041,0.0,0.24,0.24,True,False,True
209,content_f61174847f60,client_6208ef0f77,page_1,5.9,1038,0.0,0.24,0.24,True,False,False
210,content_135be02ebd8f,client_f74efabef1,page_1,5.8,1037,0.0,0.24,0.24,True,False,True
211,content_141690bd0376,client_7f2253d7e2,page_1,5.3,1034,0.0,0.24,0.24,True,False,False
212,content_538cc476313c,client_6208ef0f77,page_1,6.0,1034,0.0,0.24,0.24,True,False,False
213,content_d4b3654d7544,client_6208ef0f77,page_1,5.2,1034,0.0,0.24,0.24,True,False,False
214,content_b98d926a6a3d,client_19581e27de,page_1,5.2,1033,0.0,0.24,0.24,True,False,True
215,content_e958c85111fd,client_6208ef0f77,page_1,9.9,1032,0.0,0.24,0.24,True,False,False
216,content_8d387d58f71f,client_349c41201b,page_1,5.7,1032,0.0,0.24,0.24,True,False,True
217,content_76c23df68968,client_19581e27de,page_1,8.1,1023,0.0,0.24,0.24,True,False,True
218,content_eec532e0824c,client_6208ef0f77,page_1,5.0,1023,0.0,0.24,0.24,True,False,True
219,content_8fc531af6821,client_f74efabef1,page_1,8.4,1018,0.0,0.24,0.24,True,False,True
220,content_7f6bc8a99e30,client_6208ef0f77,page_1,4.6,1014,0.0,0.24,0.24,True,False,True
221,content_318e52eb40cf,client_19581e27de,page_1,6.6,1012,0.0,0.24,0.24,True,False,True
222,content_65cd1264927a,client_4e07408562,page_1,3.7,1009,0.0,0.24,0.24,True,False,True
223,content_037242b3365b,client_624b60c58c,page_1,6.4,1008,0.0,0.24,0.24,True,False,False
224,content_e193494bafc7,client_6208ef0f77,page_1,8.9,1006,0.0,0.24,0.24,True,False,True
225,content_78048c2728d1,client_19581e27de,page_1,8.2,1004,0.0,0.24,0.24,True,False,True
226,content_617cfde73274,client_6208ef0f77,page_1,9.3,1003,0.0,0.24,0.24,True,False,True
227,content_ff71027b45c6,client_19581e27de,page_1,7.1,999,0.0,0.24,0.24,True,False,True
228,content_ee4343e0307a,client_19581e27de,page_1,4.8,995,0.0,0.24,0.24,True,False,True
229,content_eb7015b56be9,client_4e07408562,page_1,9.1,992,0.0,0.24,0.24,True,False,True
230,content_901bf2676f2a,client_d029fa3a95,page_1,7.4,989,0.0,0.24,0.24,True,False,False
231,content_d7e642e16c19,client_a88a7902cb,page_1,3.8,983,0.0,0.24,0.24,True,False,False
232,content_d23ae29575ef,client_4e07408562,page_1,5.3,983,0.0,0.24,0.24,True,False,True
233,content_5ef76f383560,client_f369cb89fc,page_1,3.2,973,0.0,0.24,0.24,True,False,False
234,content_d248f78edf97,client_f369cb89fc,page_1,7.7,967,0.0,0.24,0.24,True,False,True
235,content_0812cf599769,client_349c41201b,page_1,9.5,959,0.0,0.24,0.24,True,False,False
236,content_5d6debd7b6e1,client_d029fa3a95,page_1,9.9,956,0.0,0.24,0.24,True,False,False
237,content_b4eef286f865,client_19581e27de,page_1,9.5,953,0.0,0.24,0.24,True,False,True
238,content_c500f6047687,client_d029fa3a95,page_1,8.4,953,0.0,0.24,0.24,True,False,True
239,content_659a1e249819,client_3fdba35f04,page_1,5.6,952,0.0,0.24,0.24,True,False,False
240,content_4ddde1af3329,client_624b60c58c,page_1,9.7,944,0.0,0.24,0.24,True,False,False
241,content_fc9339b249af,client_19581e27de,page_1,8.4,934,0.0,0.24,0.24,True,False,True
242,content_f3dc9bef3289,client_d029fa3a95,page_1,4.6,931,0.0,0.24,0.24,True,False,False
243,content_7aedf0f4ba20,client_3fdba35f04,page_1,9.5,930,0.0,0.24,0.24,True,False,False
244,content_e1aacafc8b8c,client_434c9b5ae5,page_1,8.4,927,0.0,0.24,0.24,True,False,False
245,content_027b11527f4c,client_d029fa3a95,page_1,7.9,915,0.0,0.24,0.24,True,False,False
246,content_dac96b017643,client_19581e27de,page_1,6.7,909,0.0,0.24,0.24,True,False,True
247,content_6daf6e589307,client_19581e27de,page_1,5.9,909,0.0,0.24,0.24,True,False,False
248,content_cba77b47c2c7,client_d029fa3a95,page_1,5.6,905,0.0,0.24,0.24,True,False,False
249,content_adacaaec0453,client_e629fa6598,page_1,4.6,905,0.0,0.24,0.24,True,False,False
250,content_377f379689ce,client_7f2253d7e2,page_1,8.0,905,0.0,0.24,0.24,True,False,False
251,content_bb596efa9aac,client_19581e27de,page_1,7.3,904,0.0,0.24,0.24,True,False,True
252,content_d48a0d388685,client_19581e27de,page_1,3.8,902,0.0,0.24,0.24,True,False,True
253,content_ab86fe44dea1,client_4e07408562,page_1,7.6,895,0.0,0.24,0.24,True,False,False
254,content_95e3b2fa9ff1,client_19581e27de,page_1,9.3,894,0.0,0.24,0.24,True,False,False
255,content_5252d63d75fc,client_434c9b5ae5,page_1,9.8,893,0.0,0.24,0.24,True,False,True
256,content_01392da92591,client_19581e27de,page_1,5.6,884,0.0,0.24,0.24,True,False,True
257,content_c91e1c6a526b,client_349c41201b,page_1,6.7,883,0.0,0.24,0.24,True,False,True
258,content_29a534d1824e,client_3fdba35f04,page_1,6.5,881,0.0,0.24,0.24,True,False,False
259,content_d1c18ec478e3,client_19581e27de,page_1,7.0,876,0.0,0.24,0.24,True,False,False
260,content_7e37aba82d33,client_d029fa3a95,page_1,9.0,874,0.0,0.24,0.24,True,False,False
261,content_30f5861cb4db,client_19581e27de,page_1,8.3,872,0.0,0.24,0.24,True,False,True
262,content_a0c3be8b0794,client_9400f1b21c,page_1,8.2,871,0.0,0.24,0.24,True,False,False
263,content_4cc7526e87df,client_19581e27de,page_1,7.6,870,0.0,0.24,0.24,True,False,False
264,content_66cb6a723db1,client_3fdba35f04,page_1,9.3,869,0.0,0.24,0.24,True,False,False
265,content_502b28c930ff,client_4ec9599fc2,page_1,6.1,866,0.0,0.24,0.24,True,False,True
266,content_08679f3507b9,client_3fdba35f04,page_1,8.0,864,0.0,0.24,0.24,True,False,True
267,content_99b96fc838bb,client_6208ef0f77,page_1,3.3,864,0.0,0.24,0.24,True,False,True
268,content_1265114912b4,client_d029fa3a95,page_1,9.8,860,0.0,0.24,0.24,True,False,False
269,content_26da35484d65,client_19581e27de,page_1,7.5,859,0.0,0.24,0.24,True,False,True
270,content_942399f999b7,client_4e07408562,page_1,7.6,858,0.0,0.24,0.24,True,False,True
271,content_4a8b3ceff582,client_4e07408562,page_1,9.7,857,0.0,0.24,0.24,True,False,True
272,content_0712451ba1e1,client_7f2253d7e2,page_1,3.6,857,0.0,0.24,0.24,True,False,True
